date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:44	45267/45267	---M--	200	added ('OK')	image/jpeg	etag:%22a2812028df73d71:0%22	https://www.fareobuddy.com/Content/images/TopDestination/Mobile/atlanta.jpg	./www.fareobuddy.com/Content/images/TopDestination/Mobile/atlanta.jpg	(from https://www.fareobuddy.com/)
13:12:45	44164/44164	---M--	200	added ('OK')	image/jpeg	etag:%22224a2628df73d71:0%22	https://www.fareobuddy.com/Content/images/TopDestination/Mobile/miami.jpg	./www.fareobuddy.com/Content/images/TopDestination/Mobile/miami.jpg	(from https://www.fareobuddy.com/)
13:12:46	19061/19061	---M--	200	added ('OK')	image/jpeg	etag:%227781f35ae6ced61:0%22	https://www.fareobuddy.com/Content/images/travel-theme-1.jpg	./www.fareobuddy.com/Content/images/travel-theme-1.jpg	(from https://www.fareobuddy.com/)
13:12:47	6/6	---M--	200	added ('OK')	application/json	date:Thu,%2012%20Oct%202023%2007:42:47%20GMT	https://www.fareobuddy.com/Search/AirSearch/	./www.fareobuddy.com/Search/AirSearch/index.html	(from https://www.fareobuddy.com/)
13:12:48	17835/17835	---M--	200	added ('OK')	image/jpeg	etag:%22dd635be6ced61:0%22	https://www.fareobuddy.com/Content/images/travel-theme-2.jpg	./www.fareobuddy.com/Content/images/travel-theme-2.jpg	(from https://www.fareobuddy.com/)
13:12:48	16024/16024	---M--	200	added ('OK')	image/jpeg	etag:%225e9f735be6ced61:0%22	https://www.fareobuddy.com/Content/images/travel-theme-3.jpg	./www.fareobuddy.com/Content/images/travel-theme-3.jpg	(from https://www.fareobuddy.com/)
13:12:49	25827/25827	---M--	200	added ('OK')	image/jpeg	etag:%2274887d5be6ced61:0%22	https://www.fareobuddy.com/Content/images/travel-theme-4.jpg	./www.fareobuddy.com/Content/images/travel-theme-4.jpg	(from https://www.fareobuddy.com/)
13:12:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Oct%202023%2007:42:50%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	./widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.49.delayed	(from https://www.fareobuddy.com/)
13:12:51	21717/21717	---M-Z	200	added ('OK')	application/x-javascript	etag:%22befec09eb386fc68a0869c8d1b529dd6%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	./widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://www.fareobuddy.com/)
13:12:52	2201/2201	---M--	200	added ('OK')	image/png	etag:%22769fa23be6ced61:0%22	https://www.fareobuddy.com/Content/images/callImgGirl.png	./www.fareobuddy.com/Content/images/callImgGirl.png	(from https://www.fareobuddy.com/)
13:12:53	6519/6519	---M--	200	added ('OK')	image/png	etag:%2224f54a4de6ced61:0%22	https://www.fareobuddy.com/Content/images/m.card-icon.png	./www.fareobuddy.com/Content/images/m.card-icon.png	(from https://www.fareobuddy.com/)
